task_name,priority,rem_days,criticality,time_required,impact_scope,urgency,category,category_0,category_1,category_2,category_3,category_4
定期バックアップの実行確認,92.0,3.0,4,0.5,3,4.0,仕事,1,0,0,0,0
チームの週次ミーティング資料を準備する,91.5,1.0,2,1.5,1,36.0,仕事,1,0,0,0,0
プロジェクト進行管理表を更新,91.5,1.0,3,1.0,2,24.0,仕事,1,0,0,0,0
プロジェクト完了報告書を提出,91.0,4.0,4,5.0,3,30.0,仕事,1,0,0,0,0
実習簿今日の分記入,91.0,1.0,3,1.0,0,24.0,学業,0,1,0,0,0
英語論文の要約をA4で1枚にまとめる,90.5,2.0,2,7.0,0,84.0,学業,0,1,0,0,0
教育実践論の発表用資料を完成させる,90.1,1.0,2,2.5,2,60.0,学業,0,1,0,0,0
採用候補者への面接日程連絡,90.0,2.0,3,0.5,2,6.0,仕事,1,0,0,0,0
顧客Bからの要望に対する改善案を作成,90.0,4.0,3,3.0,3,18.0,仕事,1,0,0,0,0
取引先の請求内容を精査,90.0,2.0,4,1.0,2,12.0,仕事,1,0,0,0,0
プロジェクトの課題管理表を更新,89.8,2.0,3,1.5,2,18.0,仕事,1,0,0,0,0
チーム全体の週次報告書をまとめる,89.0,3.0,2,2.0,2,16.0,仕事,1,0,0,0,0
クライアントへの月次報告書を提出する,88.7,2.0,4,2.0,3,24.0,仕事,1,0,0,0,0
上司レビュー用にドラフトを提出,88.3,2.0,2,1.0,1,12.0,仕事,1,0,0,0,0
商品説明会の原稿作成,88.0,3.0,2,2.0,2,16.0,仕事,1,0,0,0,0
見積書を作成して営業部に提出,87.6,1.0,4,1.5,2,36.0,仕事,1,0,0,0,0
次期予算案のドラフトを作成,87.0,12.0,3,6.0,3,12.0,仕事,1,0,0,0,0
AIモデルの構築,87.0,12.5,3,12.0,0,23.04,学業,0,1,0,0,0
データ収集を終わらせる（今やっているやつ）,87.0,4.0,3,7.0,0,42.0,学業,0,1,0,0,0
社会科教育の授業分析レポートを書く,86.7,1.0,2,1.0,0,24.0,学業,0,1,0,0,0
先行研究を全て読み終えて概要を整理する,86.6,11.5,4,10.0,0,20.86956522,学業,0,1,0,0,0
月次の請求対応を完了,86.5,4.0,3,2.0,3,12.0,仕事,1,0,0,0,0
英語科教育実習の授業スライドを完成,86.2,4.0,4,2.0,3,12.0,学業,0,1,0,0,0
社員総会用スライドを作成,86.0,10.0,4,6.0,3,14.4,仕事,1,0,0,0,0
顧客問い合わせメールに返信,86.0,3.0,3,0.5,3,4.0,仕事,1,0,0,0,0
プロジェクトスケジュールを見直す,86.0,4.0,3,2.0,3,12.0,仕事,1,0,0,0,0
売上データを集計してレポート作成,85.5,6.0,3,4.0,2,16.0,仕事,1,0,0,0,0
顧客向けニュースレターの原稿作成,85.0,5.0,3,2.5,3,12.0,仕事,1,0,0,0,0
成績表の単位振替のためのプリントを記入する,85.0,5.0,3,0.5,0,2.4,学業,0,1,0,0,0
クライアントの契約書を確認・押印,84.6,3.0,4,2.0,3,16.0,仕事,1,0,0,0,0
部署目標の達成度をレポート化,84.0,4.0,2,2.5,2,15.0,仕事,1,0,0,0,0
社外プレゼン練習を行う,84.0,2.0,2,1.8,2,21.6,仕事,1,0,0,0,0
請求書の内容を確認して経理に提出,83.8,2.0,4,1.0,2,12.0,仕事,1,0,0,0,0
上司への業務報告メールを送信する,83.6,1.0,3,0.5,2,12.0,仕事,1,0,0,0,0
他部署との情報共有ミーティング資料作成,83.6,2.0,2,1.0,2,12.0,仕事,1,0,0,0,0
プロジェクト進捗をまとめて共有資料を作成,81.6,3.0,3,2.0,2,16.0,仕事,1,0,0,0,0
提案書のレイアウト修正と再送,81.0,2.0,2,2.0,2,24.0,仕事,1,0,0,0,0
メールマーケティングの配信設定,80.0,2.0,3,1.0,2,12.0,仕事,1,0,0,0,0
ピアノの作曲課題を終わらせる,80.0,8.5,2,7.0,0,19.76470588,学業,0,1,0,0,0
サービス改善提案書をまとめる,79.3,6.0,2,3.0,2,12.0,仕事,1,0,0,0,0
Webスクレイピングの演習を終わらせる,77.0,3.0,2,1.5,0,12.0,学業,0,1,0,0,0
上司への月次報告資料を仕上げる,76.9,2.0,3,3.0,2,36.0,仕事,1,0,0,0,0
売上データの月次集計,76.4,7.0,3,3.0,2,10.28571429,仕事,1,0,0,0,0
月次経費精算を完了させる,76.0,6.0,4,1.0,2,4.0,仕事,1,0,0,0,0
チームの評価フィードバックを作成,76.0,5.0,3,2.0,2,9.6,仕事,1,0,0,0,0
社内ガイドラインの改訂版をレビュー,76.0,10.0,2,2.5,2,6.0,仕事,1,0,0,0,0
教員採用試験の面接練習（模擬質問回答）,75.8,2.0,4,2.0,0,24.0,就活,0,0,1,0,0
イベント当日の運営マニュアルを作成,75.4,3.0,3,5.0,3,40.0,仕事,1,0,0,0,0
プロモーション動画の台本を作成,75.0,5.0,2,3.0,3,14.4,仕事,1,0,0,0,0
イベント登壇資料を作り直す,74.7,6.0,3,3.0,3,12.0,仕事,1,0,0,0,0
図工の製作課題を終わらせる,74.0,2.5,2,3.0,0,28.8,学業,0,1,0,0,0
面接対策の質問集を作成する,73.0,3.0,2,1.4,0,11.2,就活,0,0,1,0,0
契約更新書類の確認と提出,73.0,3.0,3,0.5,3,4.0,仕事,1,0,0,0,0
ゼミ論文の仮タイトルと目的を明文化,72.4,3.0,1,1.0,0,8.0,学業,0,1,0,0,0
プロジェクト計画書を修正する,72.0,7.0,3,4.0,2,13.71428571,仕事,1,0,0,0,0
CAD設計課題を終わらせる,71.5,4.5,3,5.5,0,29.33333333,学業,0,1,0,0,0
中間テストの範囲のプリントを見返す,71.0,3.5,2,1.5,0,10.28571429,学業,0,1,0,0,0
アプリの画面構成を決める,70.0,2.0,2,1.0,0,12.0,学業,0,1,0,0,0
教職実習の反省まとめ・次回改善案作成,69.7,1.0,1,2.5,0,60.0,学業,0,1,0,0,0
取引先への契約更新書類を作成・送付,69.0,5.0,4,2.0,3,9.6,仕事,1,0,0,0,0
来週の進捗会議で使用する資料を作成,67.5,5.0,3,2.5,2,12.0,仕事,1,0,0,0,0
顧客Fへの納期確認メールを送信,67.4,4.0,2,0.5,2,3.0,仕事,1,0,0,0,0
新サービスの提案資料を作成,67.0,7.0,3,4.0,3,13.71428571,仕事,1,0,0,0,0
次期プロジェクトのスケジュール案を作成,66.6,4.0,2,5.0,2,30.0,仕事,1,0,0,0,0
Duolingoを5個やる,63.6,1.0,0,0.5,0,12.0,趣味,0,0,0,1,0
他の自主夜間学校のHPの構成や作られ方を調べる,66.3,2.0,2,1.6,0,19.2,ボランティア,0,0,0,0,1
新商品リリースに向けたプレスリリース原稿を作成,66.0,14.0,3,6.5,3,11.14285714,仕事,1,0,0,0,0
数学教育法の模擬授業の台本を完成させる,65.9,3.0,2,3.5,2,28.0,学業,0,1,0,0,0
授業でやった演習課題の復習をする,65.0,0.5,1,2.0,0,96.0,学業,0,1,0,0,0
2サイトのプロフィール欄を更新する,65.0,2.0,3,0.7,0,8.4,就活,0,0,1,0,0
来期の予算案をExcelで作成する,64.7,7.0,3,6.0,2,20.57142857,仕事,1,0,0,0,0
「Excelデータ集計マスター」教材のChapter7を終わらせる,64.6,11.0,1,5.0,0,10.90909091,学業,0,1,0,0,0
カスタマーサポートFAQを更新,64.0,7.0,2,2.0,2,6.857142857,仕事,1,0,0,0,0
期末目標の進捗レビュー,64.0,6.0,3,2.5,3,10.0,仕事,1,0,0,0,0
来月の広報計画を策定,63.2,14.0,1,5.0,2,8.571428571,仕事,1,0,0,0,0
チームメンバーの教育計画を立案,63.0,8.0,2,4.0,2,12.0,仕事,1,0,0,0,0
卒論アンケートの設問を設計・作成,62.2,4.0,3,2.0,0,12.0,学業,0,1,0,0,0
学生支援ボランティアの活動報告書を書く,62.1,5.0,4,3.5,3,16.8,学業,0,1,0,0,0
留学プログラムのエッセイを英語で作成（見直しを含めて）,62.0,9.0,3,6.0,3,16.0,学業,0,1,0,0,0
教育心理学実験のデータを整理する,61.3,1.5,1,1.0,0,16.0,学業,0,1,0,0,0
社内システムの改善要望をまとめて報告,60.0,5.0,1,3.0,1,14.4,仕事,1,0,0,0,0
自己分析のための質問に回答する,59.8,4.0,1,0.5,0,3.0,就活,0,0,1,0,0
教育課程論のグループワーク資料を作成,59.0,3.0,2,1.5,2,12.0,学業,0,1,0,0,0
顧客アンケートの結果を分析してレポート作成,58.3,7.0,2,5.0,2,17.14285714,仕事,1,0,0,0,0
顧客向けマニュアルの改訂版を完成,57.0,8.0,2,6.0,3,18.0,仕事,1,0,0,0,0
勤怠データを月末までに提出,57.0,6.0,2,1.0,1,4.0,仕事,1,0,0,0,0
取引先への請求書を発行・送信,56.5,2.0,3,1.0,3,12.0,仕事,1,0,0,0,0
社外パートナーとの打合せ調整,56.0,4.0,2,1.5,2,9.0,仕事,1,0,0,0,0
社内勉強会のスライドを作成する,55.5,4.0,2,2.0,1,12.0,仕事,1,0,0,0,0
社内アンケートの質問項目作成,55.0,4.0,2,1.5,1,9.0,仕事,1,0,0,0,0
Webサイトの更新内容をレビュー,54.6,6.0,2,1.5,1,6.0,仕事,1,0,0,0,0
上司との1on1ミーティング話すことを考える,54.4,1.0,1,0.5,1,12.0,仕事,1,0,0,0,0
社内ポータルの告知文を作成,54.0,8.0,1,1.0,0,3.0,仕事,1,0,0,0,0
社内表彰イベントの準備資料を作る,53.0,14.0,2,6.0,2,10.28571429,仕事,1,0,0,0,0
履修登録を終わらせる,51.2,25.0,4,0.5,0,0.48,学業,0,1,0,0,0
顧客リストを最新化,51.0,8.0,2,2.0,2,6.0,仕事,1,0,0,0,0
競合他社の市場調査,50.3,13.0,1,4.0,1,7.384615385,仕事,1,0,0,0,0
青チャートを12個終わらせる,50.0,9.5,1,2.5,0,6.315789474,学業,0,1,0,0,0
教職科目の授業見学レポートを作成,49.9,8.0,4,1.7,0,5.1,学業,0,1,0,0,0
特別支援教育の個別指導計画を立てる（授業）,49.7,16.0,2,3.5,1,5.25,学業,0,1,0,0,0
卒論データのコーディング分類作業,49.2,20.0,4,4.0,0,4.8,学業,0,1,0,0,0
教育制度史の期末レポート（4000字）を書く,49.0,10.0,3,4.5,0,10.8,学業,0,1,0,0,0
新入社員向け研修スライドを仕上げる,48.6,12.0,2,4.0,2,8.0,仕事,1,0,0,0,0
教職課程の教育実習報告会用の発表資料を作成,48.2,7.0,3,6.0,2,20.57142857,学業,0,1,0,0,0
質的研究の本を読む,47.4,26.0,3,8.0,0,7.384615385,学業,0,1,0,0,0
英会話練習（アプリの今日の分を終わらせる）,47.1,1.0,0,0.5,0,12.0,学業,0,1,0,0,0
「ゼルダの伝説」ゲーム制作講座のキャラクターモデリング課題を完成させる,47.0,7.0,2,3.0,1,10.28571429,学業,0,1,0,0,0
チームメンバーの業務棚卸を実施,46.7,9.0,2,3.0,2,8.0,仕事,1,0,0,0,0
TOEICの模擬試験問題集終わらせる,46.6,24.0,2,9.0,0,9.0,学業,0,1,0,0,0
教職課程の自己評価シート記入,46.0,14.0,3,0.5,0,0.857142857,学業,0,1,0,0,0
新人研修の進行スケジュールを作成,45.0,18.0,3,2.0,2,2.666666667,仕事,1,0,0,0,0
社内勉強会の発表スライドを仕上げる,45.0,10.0,2,4.0,2,9.6,仕事,1,0,0,0,0
ProgateのJava編を終わらせる,44.0,7.0,1,3.0,0,10.28571429,学業,0,1,0,0,0
ブログ記事を一つ作成する,43.2,5.0,1,5.0,0,24.0,趣味,0,0,0,1,0
ピアノの課題曲の練習をする（両手でゆっくり弾けるようにする）,43.0,7.5,1,4.0,0,12.8,趣味,0,0,0,1,0
顧客満足度アンケートを集計,42.0,10.0,2,3.0,1,7.2,仕事,1,0,0,0,0
顧客対応の進捗をCRMに記録する,41.0,5.0,2,1.0,1,4.8,仕事,1,0,0,0,0
python教材第4章の演習問題を終わらせる,41.0,5.0,2,2.5,0,12.0,学業,0,1,0,0,0
理科教育実験の実験レポートをまとめる,41.0,6.0,3,1.7,1,6.8,学業,0,1,0,0,0
教育行政論の政策比較レポートを作成（日本・北欧比較）,40.1,8.0,2,4.0,0,12.0,学業,0,1,0,0,0
締結済み契約書をPDF化して共有フォルダに保存,40.0,8.0,2,1.0,1,3.0,仕事,1,0,0,0,0
英語教育法レポート（教授法の比較）執筆,39.6,16.0,2,3.5,0,5.25,学業,0,1,0,0,0
ゼミの発表用原稿を作成する,39.0,6.0,1,1.3,0,5.2,学業,0,1,0,0,0
SNS広告の投稿スケジュールを策定,38.0,12.0,1,2.0,2,4.0,仕事,1,0,0,0,0
ラクスルを使って中間発表スライドを作成する,37.7,7.0,2,1.0,0,3.428571429,学業,0,1,0,0,0
演習課題の回答＆提出,36.8,14.5,2,3.0,0,4.965517241,学業,0,1,0,0,0
英単語1000個終わらせる,36.2,29.0,2,5.0,0,4.137931034,学業,0,1,0,0,0
教職科目ポートフォリオの振り返り記入,36.0,18.0,4,1.0,0,1.333333333,学業,0,1,0,0,0
ESを作成して提出する,35.0,9.0,4,1.0,0,2.666666667,就活,0,0,1,0,0
教員採用試験の模擬授業練習会に向けて教材準備,34.6,17.0,3,2.5,0,3.529411765,就活,0,0,1,0,0
教育史講義の小レポート（明治期の教育改革）,34.0,13.0,2,1.0,0,1.846153846,学業,0,1,0,0,0
ボランティア団体のシフト表を作成する,34.0,6.0,2,0.5,0,2.0,ボランティア,0,0,0,0,1
PosgreSQLの使い方を調べる(Figma),33.0,16.5,1,1.0,0,1.454545455,学業,0,1,0,0,0
授業で使うICT教材（Scratch教材）を開発,33.0,11.0,0,1.5,1,3.272727273,学業,0,1,0,0,0
教育実践論のグループディスカッション練習,33.0,19.0,3,1.0,1,1.263157895,学業,0,1,0,0,0
教育社会学の討論資料を作成（教育格差テーマ）,30.0,15.0,1,1.5,0,2.4,学業,0,1,0,0,0
作品解説書の作成,29.0,6.5,2,0.5,0,1.846153846,学業,0,1,0,0,0
講義で扱った教育法規の判例をまとめる,29.0,6.0,0,1.0,0,4.0,学業,0,1,0,0,0
国語教育法の文学教材分析レポート,28.0,23.0,2,1.5,0,1.565217391,学業,0,1,0,0,0
英語教材「English Grammar in Use Unit 5」を終わらせる,28.0,14.0,2,0.5,0,0.857142857,学業,0,1,0,0,0
ITのニュースを見る（流行りを発見する）,27.0,8.0,1,0.5,0,1.5,就活,0,0,1,0,0
教育哲学レポートを半分終わらせる（1000字分）,26.0,7.0,1,1.5,0,5.142857143,学業,0,1,0,0,0
授業改善アンケートの結果分析,26.0,21.0,0,2.0,0,2.285714286,学業,0,1,0,0,0
教員採用試験 過去5年分の傾向分析をまとめる,25.0,9.0,3,1.0,0,2.666666667,就活,0,0,1,0,0
2の進捗状況を整理,24.7,17.5,0,0.5,0,0.685714286,就活,0,0,1,0,0
作るアプリの目的と課題感を決める,24.4,30.0,3,0.5,0,0.4,学業,0,1,0,0,0
英語教育法の実践報告プレゼン練習,24.0,10.0,4,0.5,0,1.2,学業,0,1,0,0,0
実験結果から適合する式を導出する,23.0,18.5,2,1.5,1,1.945945946,学業,0,1,0,0,0
アンケートの質問項目を決める,22.0,31.0,2,1.5,0,1.161290323,仕事,1,0,0,0,0
特別活動論の模擬行事企画書を作成,21.3,22.0,2,2.0,0,2.181818182,学業,0,1,0,0,0
「走れメロス」を読む（読書感想文の本）,21.0,21.0,2,1.0,0,1.142857143,学業,0,1,0,0,0
実験データの異常値チェックと修正,19.0,13.5,2,1.0,0,1.777777778,学業,0,1,0,0,0
右手を鍵盤を見ずに弾けるようにする(英雄ポロネーズ),18.0,4.0,1,4.0,0,24.0,趣味,0,0,0,1,0
ASMR動画をAIを用いて作成する,17.5,1.0,0,0.5,0,12.0,趣味,0,0,0,1,0
アプリ紹介動画を作成する,15.0,20.5,2,3.5,0,4.097560976,学業,0,1,0,0,0
参考文献を整理する,14.0,10.5,0,0.5,0,1.142857143,学業,0,1,0,0,0
アンケートの配布対象を決める,13.6,27.0,1,1.0,0,0.888888889,学業,0,1,0,0,0
ギター名曲集のLesson3を止まらずに弾けるようにする,13.0,9.0,0,7.0,0,18.66666667,趣味,0,0,0,1,0
卒論の調査協力者への質問票を送信,12.0,12.0,1,0.5,2,1.0,学業,0,1,0,0,0
アンケートの配布先をリストアップして配布する,7.0,19.5,2,1.0,0,1.230769231,学業,0,1,0,0,0
趣味だよ,28.075,11.0,2,4.0,0,0.36,趣味,0,0,0,1,0
ボランティアだよ,28.7402,13.0,1,4.0,0,0.31,ボランティア,0,0,0,0,1
テストだよ,27.7461,8.0,1,5.0,0,0.62,趣味,0,0,0,1,0
テストだよ,27.5389,8.0,1,5.0,0,0.62,趣味,0,0,0,1,0
テストだよ,28.2968,8.0,1,5.0,0,0.62,趣味,0,0,0,1,0
テストだよ,27.56,8.0,1,5.0,0,0.62,趣味,0,0,0,1,0
